candidate_id,variant,quantile,month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
current_70_20_10__q50,current_70_20_10,0.5,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,8,4.819444444444445,1.659942363112392,0.004832155909393343,0.44063119128049655,0.5,1.1638554219709996,6.635084615097498,-0.02428271429185236,1.3895648870118578
current_70_20_10__q50,current_70_20_10,0.5,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,61,31.0,1.967741935483871,-0.1279698717279506,-0.8005627616167869,0.47540983606557374,0.703186350555998,-21.348996816509125,-0.1553694789467358,-3.8712824854840173
current_70_20_10__q50,current_70_20_10,0.5,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,69,31.0,2.225806451612903,0.027020193481738675,0.36877853294273644,0.5507246376811594,1.0792895036744117,5.37560663401485,-0.1618051608240647,0.8713585125803023
current_70_20_10__q50,current_70_20_10,0.5,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,59,30.0,1.9666666666666666,-0.05424106287672026,-0.49262524320954804,0.4745762711864407,0.8858393460965633,-8.108073690762792,-0.1352989958751306,-1.3127758761609796
current_70_20_10__q50,current_70_20_10,0.5,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,71,31.0,2.2903225806451615,0.22650251026781731,10.066222316236301,0.6056338028169014,1.4301456294567148,30.786428473957695,-0.09638202272758256,4.425347859253899
current_70_20_10__q50,current_70_20_10,0.5,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,79,30.0,2.6333333333333333,0.04136439181914442,0.6374440457695316,0.6075949367088608,1.0918987981889057,6.72210303510923,-0.1256951987957744,1.1614365436798866
current_70_20_10__q50,current_70_20_10,0.5,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,72,31.0,2.3225806451612905,0.09874465702085922,2.0305856218989495,0.5694444444444444,1.22714550464445,14.51707141879305,-0.08746085080260024,2.4801066078044687
current_70_20_10__q50,current_70_20_10,0.5,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,77,31.0,2.4838709677419355,0.2698560773823744,15.658104630801198,0.5974025974025974,1.5133372202306528,32.89666574910869,-0.0526326028181856,5.143296376082434
current_70_20_10__q50,current_70_20_10,0.5,2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,68,28.0,2.4285714285714284,0.20480351513614936,10.344903409350971,0.5882352941176471,1.4146231833133756,29.384438747796317,-0.11418019047760652,4.391026435261305
current_70_20_10__q50,current_70_20_10,0.5,2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,66,31.0,2.129032258064516,0.11501482593687062,2.6032254048602024,0.5757575757575758,1.30166566834945,17.813536818795495,-0.08906643381862633,3.0458550898931116
current_70_20_10__q50,current_70_20_10,0.5,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,58,30.0,1.9333333333333333,-0.13853223831028472,-0.8370423094481572,0.4482758620689655,0.6846313215215887,-24.54877239490384,-0.17138097076867653,-4.290476341998295
current_70_20_10__q50,current_70_20_10,0.5,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,70,31.0,2.2580645161290325,0.21135255899388472,8.559687665794,0.5857142857142857,1.4410232984671387,29.458582830893548,-0.15760645652635596,4.153414501895741
current_70_20_10__q50,current_70_20_10,0.5,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,73,25.180555555555557,2.899062327633756,-0.04374507098010916,-0.47711096432418154,0.4931506849315068,0.947515721725052,-4.325289724492871,-0.19705679765801942,-0.7352098195953496
current_70_20_10__q60,current_70_20_10,0.6,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,8,4.819444444444445,1.659942363112392,0.004832155909393343,0.44063119128049655,0.5,1.1638554219709996,6.635084615097498,-0.02428271429185236,1.3895648870118578
