candidate_id,style_set,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
base_all__current_70_20_10__q50,base_all,current_70_20_10,0.5,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,17,7.0,2.4285714285714284,0.19093719983024848,9057.619906972957,0.7647058823529411,3.405570896943888,105.24899959829177,-0.02904428684846616,15.38945934325108
base_all__current_70_20_10__q50,base_all,current_70_20_10,0.5,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,88,30.0,2.933333333333333,0.07935549297484279,1.5322203242120445,0.5227272727272727,1.1406545165204436,10.542531174116217,-0.19705679765801898,1.7727993176688563
base_all__current_70_20_10__q50,base_all,current_70_20_10,0.5,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,206,90.0,2.2888888888888888,-0.008267210697022298,-0.033107050086730205,0.5097087378640777,1.0170967812823868,1.2873774403847873,-0.2365322885837985,0.20131918949247837
base_all__current_70_20_10__q50,base_all,current_70_20_10,0.5,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,427,183.0,2.3333333333333335,0.7385211569475842,2.0133355934637645,0.550351288056206,1.2109681483891233,14.649019523188702,-0.2365322885837986,2.3177621299169693
base_all__current_70_20_10__q50,base_all,current_70_20_10,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,831,365.0,2.276712328767123,1.0332324842082956,1.0332324842082956,0.5511432009626955,1.1456815682889832,10.150238822654197,-0.2586987610220015,1.6277793426622946
base_all__current_70_20_10__q60,base_all,current_70_20_10,0.6,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,15,7.0,2.142857142857143,0.10872154053440442,216.35640504730353,0.6666666666666666,2.177458947157517,71.3903943223937,-0.051430718120354824,8.847474906082377
base_all__current_70_20_10__q60,base_all,current_70_20_10,0.6,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,77,30.0,2.566666666666667,-0.06850927320934619,-0.5782981383194572,0.4675324675324675,0.9154930400192406,-7.276286808951214,-0.2713245553401812,-1.1207679050904569
base_all__current_70_20_10__q60,base_all,current_70_20_10,0.6,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,183,90.0,2.033333333333333,-0.20868678044216238,-0.6129684455416831,0.46994535519125685,0.8644305399816864,-11.067440173157566,-0.3442777376202266,-1.6183641451210042
base_all__current_70_20_10__q60,base_all,current_70_20_10,0.6,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,400,183.0,2.185792349726776,0.3796413600309896,0.9000658888449204,0.5275,1.1382012688972747,9.66918199431057,-0.34427773762022607,1.5111040749425888
base_all__current_70_20_10__q60,base_all,current_70_20_10,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,818,365.0,2.241095890410959,1.436753756010475,1.436753756010475,0.5378973105134475,1.1794407008988137,12.605086863814838,-0.34427773762022607,1.9422453352413391
base_all__current_70_20_10__q70,base_all,current_70_20_10,0.7,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,11,7.0,1.5714285714285714,0.14674711381172267,1260.2857192243391,0.7272727272727273,3.8266888472075227,127.7313652660212,-0.023051506776914366,13.029310895345384
base_all__current_70_20_10__q70,base_all,current_70_20_10,0.7,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,67,30.0,2.2333333333333334,0.08298986963501198,1.6379311911113472,0.5223880597014925,1.1726918324208069,14.244569231201519,-0.16615679295669905,1.8627985312453919
base_all__current_70_20_10__q70,base_all,current_70_20_10,0.7,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,167,90.0,1.8555555555555556,-0.2559036948982377,-0.6984322623067605,0.46706586826347307,0.8131881788254859,-15.93741535173085,-0.3896290959441827,-2.209258819584659
base_all__current_70_20_10__q70,base_all,current_70_20_10,0.7,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,359,183.0,1.9617486338797814,0.14125266341525844,0.30151760326712607,0.532033426183844,1.0721435835064905,5.307353248740682,-0.3896290959441826,0.7855082352585929
base_all__current_70_20_10__q70,base_all,current_70_20_10,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,750,365.0,2.0547945205479454,1.1061311292131446,1.1061311292131446,0.536,1.1632436040205762,11.6596661707245,-0.38962909594418316,1.7152043571627276
base_all__current_70_20_10__q80,base_all,current_70_20_10,0.8,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,11,7.0,1.5714285714285714,0.14674711381172267,1260.2857192243391,0.7272727272727273,3.8266888472075227,127.7313652660212,-0.023051506776914366,13.029310895345384
base_all__current_70_20_10__q80,base_all,current_70_20_10,0.8,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,56,30.0,1.8666666666666667,0.2717894124625091,17.6373858531094,0.5714285714285714,1.5870560010875103,45.651504121592765,-0.10536880954648642,5.132723798533743
base_all__current_70_20_10__q80,base_all,current_70_20_10,0.8,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,139,90.0,1.5444444444444445,0.1363125909048133,0.6790919819244337,0.49640287769784175,1.1478581312225191,11.013961537790081,-0.14554006442210032,1.3619230621983651
base_all__current_70_20_10__q80,base_all,current_70_20_10,0.8,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,296,183.0,1.6174863387978142,0.2111682136823967,0.46539349674704966,0.5236486486486487,1.1098130358732712,8.162389988995585,-0.18262700829252654,1.0754411400979789
base_all__current_70_20_10__q80,base_all,current_70_20_10,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,1.7342465753424658,0.6180822005010074,0.6180822005010074,0.5339652448657188,1.1282997496961888,9.304480206703001,-0.26940028358122936,1.2660793138405462
base_all__current_70_20_10__q85,base_all,current_70_20_10,0.85,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,10,7.0,1.4285714285714286,0.07010026582219964,33.219687320977286,0.7,2.053104387652931,71.31150210814376,-0.04057123522479511,5.963927711674279
base_all__current_70_20_10__q85,base_all,current_70_20_10,0.85,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,48,30.0,1.6,0.27287115015431573,17.83117384649546,0.6458333333333334,1.698573907697128,53.21359555900122,-0.08468007022629565,5.33580330871026
