month,start,end,trades,days,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x
2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,9,4.819444444444445,-0.009927635984973704,-0.5302831662134276,0.4444444444444444,0.8348268835698803,-10.241682469949284,-0.03902263899068037
2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,58,31.0,-0.15788234225741338,-0.867771644927336,0.43103448275862066,0.6492983799298113,-28.32510336776653,-0.1843420852250921
2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,60,31.0,-0.012404904633077196,-0.13668118231267545,0.55,0.9875018129396747,-0.8726490779298277,-0.14833652613405346
2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,55,30.0,0.47531957152750204,112.44384279549654,0.6909090909090909,3.3557794577702036,72.30968389087083,-0.04207289640445566
2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,59,31.0,0.01518393690398101,0.194150334121455,0.4745762711864407,1.0545088356770642,4.896358912086021,-0.11548534649172926
2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,52,30.0,0.10855528725502839,2.503868926582093,0.5961538461538461,1.2827921428055613,22.125418274111233,-0.09949623460708601
2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,53,31.0,-0.02305118630857239,-0.2401134998463652,0.5471698113207547,0.960905876343107,-2.86879844445469,-0.154808667829333
2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,57,31.0,-0.08512641834958401,-0.6492013137054331,0.5087719298245614,0.8454868693179917,-13.807234477696301,-0.18037441780004104
2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,46,28.0,0.07546085472523267,1.58141764145046,0.5434782608695652,1.2342843226541502,17.67736773032278,-0.10667181615365073
2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,50,31.0,0.07858283591581294,1.4368204167693515,0.6,1.288357588306134,16.218019571099955,-0.08932738191621015
2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,37,30.0,-0.11566169516931091,-0.7758574472535456,0.3783783783783784,0.6216352516564934,-31.895674953115282,-0.12628189655861344
2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51,31.0,0.0197072714485389,0.25832367711620563,0.5098039215686274,1.0759026457458294,5.123359769775348,-0.1012922410362963
2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,46,25.180555555555557,0.26595650108608093,29.520537823891324,0.5652173913043478,1.694744785506754,54.22899840555875,-0.07735409133069349
